trial,best_gene,best_fitness,avg_fitness,times
1,"[22, 1, 7, 6, 28, 4, 25, 34, 16, 5, 50, 21, 2, 53, 47, 15, 35, 33, 10, 41, 30, 37, 36, 18, 27, 40, 54, 9, 44, 45, 55, 48, 46, 49, 19, 42, 11, 17, 43, 52, 24, 29, 12, 39, 0, 26, 38, 32, 13, 14, 20, 51, 56, 8, 31, 57, 3, 23]",1.4746435049326825e-05,1.400520205402777e-05,0.22700071334838867
2,"[42, 48, 13, 20, 1, 27, 55, 36, 9, 38, 4, 22, 17, 57, 7, 11, 40, 51, 12, 39, 52, 53, 45, 44, 5, 56, 0, 24, 19, 31, 8, 29, 43, 21, 34, 2, 28, 35, 16, 46, 50, 10, 6, 30, 41, 54, 47, 25, 32, 18, 37, 15, 3, 49, 23, 14, 33, 26]",1.5651656727864645e-05,1.558253405144717e-05,0.2279648780822754
3,"[6, 15, 56, 22, 24, 39, 57, 46, 26, 40, 20, 54, 4, 8, 17, 31, 12, 0, 52, 49, 43, 42, 34, 9, 23, 29, 11, 51, 36, 44, 5, 48, 50, 38, 47, 53, 7, 21, 33, 14, 13, 55, 18, 2, 1, 25, 32, 16, 45, 27, 35, 28, 3, 19, 37, 10, 41, 30]",1.5756964578343627e-05,1.5462235195145452e-05,0.22598791122436523
4,"[5, 44, 55, 14, 45, 27, 48, 16, 38, 25, 35, 28, 32, 9, 22, 7, 26, 39, 24, 29, 3, 21, 15, 37, 6, 30, 41, 17, 0, 52, 49, 43, 12, 8, 31, 19, 56, 57, 11, 23, 4, 50, 34, 2, 47, 46, 36, 18, 51, 40, 54, 53, 1, 10, 20, 33, 42, 13]",1.9105116350158574e-05,1.8162456642701737e-05,0.22300004959106445
5,"[42, 23, 11, 28, 51, 33, 18, 35, 40, 34, 15, 41, 37, 6, 30, 47, 26, 56, 39, 8, 29, 43, 2, 45, 32, 27, 5, 14, 25, 57, 52, 31, 19, 3, 10, 16, 44, 55, 36, 13, 20, 50, 54, 1, 4, 53, 46, 9, 21, 38, 7, 49, 24, 17, 12, 0, 22, 48]",1.751436177665686e-05,1.6810873654024308e-05,0.23601245880126953
6,"[18, 5, 20, 38, 34, 51, 2, 33, 14, 55, 30, 6, 41, 7, 49, 12, 31, 39, 22, 4, 53, 54, 28, 48, 42, 56, 26, 8, 11, 47, 44, 27, 16, 57, 43, 17, 29, 24, 19, 9, 40, 13, 10, 37, 35, 52, 0, 1, 21, 3, 23, 15, 46, 50, 36, 45, 32, 25]",1.4396775122372589e-05,1.378843337262224e-05,0.3390331268310547
7,"[16, 40, 35, 5, 11, 13, 14, 4, 2, 9, 7, 1, 46, 56, 42, 34, 54, 48, 26, 50, 36, 32, 44, 47, 53, 22, 23, 51, 41, 6, 30, 37, 28, 45, 55, 24, 17, 21, 39, 57, 19, 49, 8, 52, 3, 12, 0, 29, 31, 43, 18, 27, 38, 10, 15, 25, 20, 33]",1.5619386782874904e-05,1.5371891564995472e-05,0.23600244522094727
8,"[7, 22, 0, 31, 39, 2, 21, 30, 37, 6, 41, 1, 25, 5, 9, 51, 34, 53, 15, 16, 13, 32, 35, 26, 43, 29, 49, 56, 33, 36, 18, 17, 23, 42, 11, 46, 48, 40, 50, 28, 44, 55, 14, 4, 8, 12, 24, 57, 52, 19, 3, 54, 45, 27, 20, 38, 47, 10]",1.602718210084303e-05,1.4940342734930268e-05,0.236952543258667
9,"[31, 23, 56, 54, 7, 10, 49, 52, 16, 35, 25, 57, 17, 39, 43, 12, 29, 8, 3, 20, 36, 14, 55, 32, 9, 33, 45, 13, 5, 28, 53, 47, 4, 2, 1, 40, 44, 18, 27, 46, 34, 50, 51, 48, 11, 22, 26, 0, 37, 6, 30, 15, 41, 38, 21, 42, 24, 19]",1.6768394929237373e-05,1.638898669637255e-05,0.23200011253356934
10,"[1, 53, 7, 40, 52, 19, 21, 50, 16, 27, 5, 25, 34, 28, 4, 33, 55, 14, 13, 36, 35, 38, 10, 37, 30, 41, 6, 2, 3, 15, 20, 45, 18, 11, 22, 23, 26, 42, 48, 46, 51, 9, 44, 32, 47, 0, 29, 24, 57, 12, 39, 43, 17, 49, 31, 8, 56, 54]",1.686994955885082e-05,1.590582142569683e-05,0.22704505920410156
